coin_number,title,short_id,url,upload_date,duration
1,Silver Coin #1 has been found in #HuntTheMouse Singapore!,oU5vGUmo_iU,https://www.youtube.com/shorts/oU5vGUmo_iU,20241011,12
2,Silver Coin #2 has been found in #HuntTheMouse Singapore!,QYwr0mSeQR0,https://www.youtube.com/shorts/QYwr0mSeQR0,20241010,21
3,Silver Coin #3 has been found in #HuntTheMouse Singapore!,ZuYCJtKepmg,https://www.youtube.com/shorts/ZuYCJtKepmg,20241012,15
4,Silver Coin #4 has been found in #HuntTheMouse Singapore!,LidgzIgiquE,https://www.youtube.com/shorts/LidgzIgiquE,20241010,15
5,Silver Coin #5 has been found in #HuntTheMouse Singapore!,b4JIem7lUn8,https://www.youtube.com/shorts/b4JIem7lUn8,20241012,15
6,Silver Coin #6 has been found in #HuntTheMouse Singapore!,R90RupEizx8,https://www.youtube.com/shorts/R90RupEizx8,20241011,20
7,Silver Coin #7 has been found in #HuntTheMouse Singapore!,K7x9hL4Xj74,https://www.youtube.com/shorts/K7x9hL4Xj74,20241010,16
8,Silver Coin #8 has been found in #HuntTheMouse Singapore!,1CTFltr5Rds,https://www.youtube.com/shorts/1CTFltr5Rds,20241010,24
9,Silver Coin #9 has been found in #HuntTheMouse Singapore!,CPsya-A3quk,https://www.youtube.com/shorts/CPsya-A3quk,20241012,10
10,Silver Coin #10 has been found in #HuntTheMouse Singapore!,Wsp6XLmR8Co,https://www.youtube.com/shorts/Wsp6XLmR8Co,20241011,12
11,Silver Coin #11 has been found in #HuntTheMouse Singapore!,2BV4KbtVa5Y,https://www.youtube.com/shorts/2BV4KbtVa5Y,20241011,19
12,Silver Coin #12 has been found in #HuntTheMouse Singapore!,H3dOYRce8CE,https://www.youtube.com/shorts/H3dOYRce8CE,20241012,14
13,Silver Coin #13 has been found in #HuntTheMouse Singapore!,EeEDdDbaZCU,https://www.youtube.com/shorts/EeEDdDbaZCU,20241012,17
14,Silver Coin #14 has been found in #HuntTheMouse Singapore!,GF40nA3H9Is,https://www.youtube.com/shorts/GF40nA3H9Is,20241011,18
15,Silver Coin #15 has been found in #HuntTheMouse Singapore!,--oON0QUFi0,https://www.youtube.com/shorts/--oON0QUFi0,20241012,12
16,Silver Coin #16 has been found in #HuntTheMouse Singapore!,Ab7Grf8Ws1Q,https://www.youtube.com/shorts/Ab7Grf8Ws1Q,20241231,16
17,Silver Coin #17 has been found in #HuntTheMouse Singapore!,6SGVBTrmMik,https://www.youtube.com/shorts/6SGVBTrmMik,20241011,16
18,Silver Coin #18 has been found in #HuntTheMouse Singapore!,Lk8MaFk1n5M,https://www.youtube.com/shorts/Lk8MaFk1n5M,20241010,17
19,Silver Coin #19 has been found in #HuntTheMouse Singapore!,-x_nds_9rrA,https://www.youtube.com/shorts/-x_nds_9rrA,20241012,18
20,Silver Coin #20  has been found in #HuntTheMouse Singapore!,V9ekSc2FE08,https://www.youtube.com/shorts/V9ekSc2FE08,20241013,18
21,Silver Coin #21 has been found in #HuntTheMouse Singapore!,CbrQ15hE164,https://www.youtube.com/shorts/CbrQ15hE164,20241011,21
22,Silver Coin #22  has been found in #HuntTheMouse Singapore!,gBCcOZ5-zCM,https://www.youtube.com/shorts/gBCcOZ5-zCM,20241013,16
23,Silver Coin #23 has been found in #HuntTheMouse Singapore!,8PbCjYtw3Fw,https://www.youtube.com/shorts/8PbCjYtw3Fw,20241011,25
24,Silver Coin #24 has been found in #HuntTheMouse Singapore!,gYp4-yeVS2w,https://www.youtube.com/shorts/gYp4-yeVS2w,20241012,12
25,Silver Coin #25 has been found in #HuntTheMouse Singapore!,OpU06YLA55A,https://www.youtube.com/shorts/OpU06YLA55A,20241013,20
26,Silver Coin #26 has been found in #HuntTheMouse Singapore!,ZwwcIszrb_8,https://www.youtube.com/shorts/ZwwcIszrb_8,20241015,10
27,Silver Coin #27 has been found in #HuntTheMouse Singapore!,STosuIpHXps,https://www.youtube.com/shorts/STosuIpHXps,20241012,18
28,Silver Coin #28 has been found in #HuntTheMouse Singapore!,sT7fDNfaIfI,https://www.youtube.com/shorts/sT7fDNfaIfI,20241013,10
29,Silver Coin #29 has been found in #HuntTheMouse Singapore!,HLXnWdx24eY,https://www.youtube.com/shorts/HLXnWdx24eY,20241013,12
30,Silver Coin #30 has been found in #HuntTheMouse Singapore!,LMYIbU57uwM,https://www.youtube.com/shorts/LMYIbU57uwM,20241013,15
31,Silver Coin #31 has been found in #HuntTheMouse Singapore!,8lhGsJdjrMQ,https://www.youtube.com/shorts/8lhGsJdjrMQ,20241012,15
