coin_number,series,title,views,short_id,url
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities JB!,2.4K views,FkWTJY7IOpQ,https://www.youtube.com/shorts/FkWTJY7IOpQ
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities TYO!,644 views,JigAxd_vaLU,https://www.youtube.com/shorts/JigAxd_vaLU
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities JKT!,733 views,MBY9IIgy59c,https://www.youtube.com/shorts/MBY9IIgy59c
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities HCM!,2.2K views,pQ_ITIDh8jk,https://www.youtube.com/shorts/pQ_ITIDh8jk
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities KL!,337 views,q_wJ6l83o9M,https://www.youtube.com/shorts/q_wJ6l83o9M
1,Mystery Cities,Silver Coin #1 has been found in #HuntTheMouse — Mystery Cities BKK!,2.1K views,r1HajA80t_s,https://www.youtube.com/shorts/r1HajA80t_s
1,SG60 Edition,Silver Coin #1 has been found in Revolut #HuntTheMouse — SG60 Edition!,980 views,oxmISKHlw2Y,https://www.youtube.com/shorts/oxmISKHlw2Y
1,Sentosa Edition,Sentosa Silver Coin #1 has been found in #HuntTheMouse — Sentosa Edition!,1.4K views,lsShfIhrJd0,https://www.youtube.com/shorts/lsShfIhrJd0
1,Singapore,Silver Coin #1 has been found in #HuntTheMouse Singapore!,14K views,oU5vGUmo_iU,https://www.youtube.com/shorts/oU5vGUmo_iU
1,Singapore,Silver Coin #1 has been found in #HuntTheMouse Singapore!,1.1K views,qgBloC6ox14,https://www.youtube.com/shorts/qgBloC6ox14
1,pandamart,Silver Coin #1 has been found in pandamart #HuntTheMouse!,2.8K views,DbRUNwXfOtg,https://www.youtube.com/shorts/DbRUNwXfOtg
2,Ho Chi Minh City,Silver Coin #2 has been found in #HuntTheMouse — Ho Chi Minh City!,600 views,FDDd8JvpG1M,https://www.youtube.com/shorts/FDDd8JvpG1M
2,Ho Chi Minh City,Silver Coin #2 has been found in #HuntTheMouse — Ho Chi Minh City!,631 views,X0uPDbvTNUU,https://www.youtube.com/shorts/X0uPDbvTNUU
2,Mystery Cities,Silver Coin #2 has been found in #HuntTheMouse — Mystery Cities JKT!,1.4K views,08ABoIdZX8c,https://www.youtube.com/shorts/08ABoIdZX8c
2,Mystery Cities,Silver Coin #2 has been found in #HuntTheMouse — Mystery Cities BKK!,5.8K views,5yrqBbAccyk,https://www.youtube.com/shorts/5yrqBbAccyk
2,Mystery Cities,Silver Coin #2 has been found in #HuntTheMouse — Mystery Cities KL!,2.3K views,JrgJJdnRimY,https://www.youtube.com/shorts/JrgJJdnRimY
2,Mystery Cities,Silver Coin #2 has been found in #HuntTheMouse — Mystery Cities HCM!,565 views,kPtI5q59C5o,https://www.youtube.com/shorts/kPtI5q59C5o
2,Mystery Cities,Silver Coin #2 has been found in #HuntTheMouse — Mystery Cities JB!,2.2K views,tEMe-ttXsSU,https://www.youtube.com/shorts/tEMe-ttXsSU
2,SG60 Edition,Silver Coin #2 has been found in Revolut #HuntTheMouse — SG60 Edition!,563 views,kEDCFOIPJ08,https://www.youtube.com/shorts/kEDCFOIPJ08
2,Sentosa Edition,Sentosa Silver Coin #2 has been found in #HuntTheMouse — Sentosa Edition!,1.2K views,eCZfeR3o3EE,https://www.youtube.com/shorts/eCZfeR3o3EE
2,Singapore,Silver Coin #2 has been found in #HuntTheMouse Singapore!,2.3K views,QYwr0mSeQR0,https://www.youtube.com/shorts/QYwr0mSeQR0
2,Singapore,Silver Coin #2 has been found in #HuntTheMouse Singapore!,776 views,uczh-xHlN-Q,https://www.youtube.com/shorts/uczh-xHlN-Q
2,pandamart,Silver Coin #2 has been found in pandamart #HuntTheMouse!,2.2K views,mygB9bO-yIQ,https://www.youtube.com/shorts/mygB9bO-yIQ
3,Ho Chi Minh City,Silver Coin #3 has been found in #HuntTheMouse — Ho Chi Minh City!,536 views,sPQjmDUmw9A,https://www.youtube.com/shorts/sPQjmDUmw9A
3,Mystery Cities,Silver Coin #3 has been found in #HuntTheMouse — Mystery Cities HCM!,916 views,GEdkvVjDw3E,https://www.youtube.com/shorts/GEdkvVjDw3E
